GrkSortIncl	OGNT	N1904
458	τὸ	τὸ
459	ῥηθὲν	ῥηθὲν
460	ὑπὸ	ὑπὸ
461	Κυρίου	Κυρίου
462	διὰ	διὰ
463	τοῦ	τοῦ
464	προφήτου	προφήτου
465	λέγοντος	λέγοντος
470	Ἰδοὺ	“Ἰδοὺ
471	ἡ	ἡ
472	παρθένος	παρθένος
473	ἐν	ἐν
474	γαστρὶ	γαστρὶ
475	ἕξει	ἕξει
476	καὶ	καὶ
477	τέξεται	τέξεται
478	υἱόν	υἱόν,
479	καὶ	καὶ
480	καλέσουσιν	καλέσουσιν
481	τὸ	τὸ
482	ὄνομα	ὄνομα
483	αὐτοῦ	αὐτοῦ
484	Ἐμμανουήλ	Ἐμμανουήλ,”
485	ὅ	ὅ
486	ἐστιν	ἐστιν
487	μεθερμηνευόμενον	μεθερμηνευόμενον
488	Μεθ᾽	“Μεθ᾽
489	ἡμῶν	ἡμῶν
490	ὁ	ὁ
491	Θεός	Θεός.
496	Ἐγερθεὶς	Ἐγερθεὶς
497	δὲ	δὲ
498	ὁ	ὁ
499	Ἰωσὴφ	Ἰωσὴφ
500	ἀπὸ	ἀπὸ
501	τοῦ	τοῦ
502	ὕπνου	ὕπνου
503	ἐποίησεν	ἐποίησεν
504	ὡς	ὡς
505	προσέταξεν	προσέταξεν
506	αὐτῷ	αὐτῷ
507	ὁ	ὁ
508	ἄγγελος	ἄγγελος
509	Κυρίου	Κυρίου,
510	καὶ	καὶ
511	παρέλαβεν	παρέλαβεν
512	τὴν	τὴν
513	γυναῖκα	γυναῖκα
514	αὐτοῦ	αὐτοῦ·
519	καὶ	καὶ
520	οὐκ	οὐκ
521	ἐγίνωσκεν	ἐγίνωσκεν
522	αὐτὴν	αὐτὴν
523	ἕως	ἕως
524	οὗ	οὗ
525	ἔτεκεν	ἔτεκεν
526	υἱόν	υἱόν·
527	καὶ	καὶ
528	ἐκάλεσεν	ἐκάλεσεν
529	τὸ	τὸ
530	ὄνομα	ὄνομα
531	αὐτοῦ	αὐτοῦ
532	Ἰησοῦν	Ἰησοῦν.
537	Τοῦ	Τοῦ
538	δὲ	δὲ
539	Ἰησοῦ	Ἰησοῦ
540	γεννηθέντος	γεννηθέντος
541	ἐν	ἐν
542	Βηθλέεμ	Βηθλέεμ
543	τῆς	τῆς
544	Ἰουδαίας	Ἰουδαίας
545	ἐν	ἐν
546	ἡμέραις	ἡμέραις
547	Ἡρῴδου	Ἡρῴδου
548	τοῦ	τοῦ
549	βασιλέως	βασιλέως,
550	ἰδοὺ	ἰδοὺ
551	μάγοι	μάγοι
552	ἀπὸ	ἀπὸ
553	ἀνατολῶν	ἀνατολῶν
554	παρεγένοντο	παρεγένοντο
555	εἰς	εἰς
556	Ἱεροσόλυμα	Ἱεροσόλυμα
561	λέγοντες	λέγοντες
562	Ποῦ	“Ποῦ
563	ἐστιν	ἐστιν
564	ὁ	ὁ
565	τεχθεὶς	τεχθεὶς
566	βασιλεὺς	βασιλεὺς
567	τῶν	τῶν
568	Ἰουδαίων	Ἰουδαίων;
569	εἴδομεν	εἴδομεν
570	γὰρ	γὰρ
571	αὐτοῦ	αὐτοῦ
572	τὸν	τὸν
573	ἀστέρα	ἀστέρα
574	ἐν	ἐν
575	τῇ	τῇ
576	ἀνατολῇ	ἀνατολῇ
577	καὶ	καὶ
578	ἤλθομεν	ἤλθομεν
579	προσκυνῆσαι	προσκυνῆσαι
580	αὐτῷ	αὐτῷ.
585	Ἀκούσας	Ἀκούσας
586	δὲ	δὲ
587	ὁ	ὁ
588	βασιλεὺς	βασιλεὺς
589	Ἡρῴδης	Ἡρῴδης
590	ἐταράχθη	ἐταράχθη,
591	καὶ	καὶ
592	πᾶσα	πᾶσα
593	Ἱεροσόλυμα	Ἱεροσόλυμα
594	μετ᾽	μετ᾽
595	αὐτοῦ	αὐτοῦ,
600	καὶ	καὶ
