FEATURESsort1	OGNTsort	NA27id
000436	000436	40.1.25!14
000437	000437	40.2.1!1
000438	000438	40.2.1!2
000439	000439	40.2.1!3
000440	000440	40.2.1!4
000441	000441	40.2.1!5
000442	000442	40.2.1!6
000443	000443	40.2.1!7
000444	000444	40.2.1!8
000445	000445	40.2.1!9
000446	000446	40.2.1!10
000447	000447	40.2.1!11
000448	000448	40.2.1!12
000449	000449	40.2.1!13
000450	000450	40.2.1!14
000451	000451	40.2.1!15
000452	000452	40.2.1!16
000453	000453	40.2.1!17
000454	000454	40.2.1!18
000455	000455	40.2.1!19
000456	000456	40.2.1!20
000457	000457	40.2.2!1
000458	000458	40.2.2!2
000459	000459	40.2.2!3
000460	000460	40.2.2!4
000461	000461	40.2.2!5
000462	000462	40.2.2!6
000463	000463	40.2.2!7
000464	000464	40.2.2!8
000465	000465	40.2.2!9
000466	000466	40.2.2!10
000467	000467	40.2.2!11
000468	000468	40.2.2!12
000469	000469	40.2.2!13
000470	000470	40.2.2!14
000471	000471	40.2.2!15
000472	000472	40.2.2!16
000473	000473	40.2.2!17
000474	000474	40.2.2!18
000475	000475	40.2.2!19
000476	000476	40.2.2!20
000477	000477	40.2.3!1
000478	000478	40.2.3!2
000479	000479	40.2.3!3
000480	000480	40.2.3!4
000481	000481	40.2.3!5
000482	000482	40.2.3!6
000483	000483	40.2.3!7
000484	000484	40.2.3!8
000485	000485	40.2.3!9
000486	000486	40.2.3!10
000487	000487	40.2.3!11
000488	000488	40.2.4!1
000489	000489	40.2.4!2
000490	000490	40.2.4!3
000491	000491	40.2.4!4
000492	000492	40.2.4!5
000493	000493	40.2.4!6
000494	000494	40.2.4!7
000495	000495	40.2.4!8
000496	000496	40.2.4!9
000497	000497	40.2.4!10
000498	000498	40.2.4!11
000499	000499	40.2.4!12
000500	000500	40.2.4!13
000501	000501	40.2.4!14
000502	000502	40.2.4!15
000503	000503	40.2.4!16
000504	000504	40.2.5!1
000505	000505	40.2.5!2
000506	000506	40.2.5!3
000507	000507	40.2.5!4
000508	000508	40.2.5!5
000509	000509	40.2.5!6
000510	000510	40.2.5!7
000511	000511	40.2.5!8
000512	000512	40.2.5!9
000513	000513	40.2.5!10
000514	000514	40.2.5!11
000515	000515	40.2.5!12
000516	000516	40.2.5!13
000517	000517	40.2.5!14
000518	000518	40.2.6!1
000519	000519	40.2.6!2
000520	000520	40.2.6!3
000521	000521	40.2.6!4
000522	000522	40.2.6!5
000523	000523	40.2.6!6
000524	000524	40.2.6!7
000525	000525	40.2.6!8
000526	000526	40.2.6!9
000527	000527	40.2.6!10
000528	000528	40.2.6!11
000529	000529	40.2.6!12
000530	000530	40.2.6!13
000531	000531	40.2.6!14
000532	000532	40.2.6!15
000533	000533	40.2.6!16
000534	000534	40.2.6!17
000535	000535	40.2.6!18
000536	000536	40.2.6!19
000537	000537	40.2.6!20
000538	000538	40.2.6!21
000539	000539	40.2.6!22
000540	000540	40.2.6!23
000541	000541	40.2.6!24
000542	000542	40.2.7!1
000543	000543	40.2.7!2
000544	000544	40.2.7!3
000545	000545	40.2.7!4
000546	000546	40.2.7!5
000547	000547	40.2.7!6
000548	000548	40.2.7!7
000549	000549	40.2.7!8
000550	000550	40.2.7!9
000551	000551	40.2.7!10
000552	000552	40.2.7!11
000553	000553	40.2.7!12
000554	000554	40.2.7!13
000555	000555	40.2.7!14
000556	000556	40.2.8!1
000557	000557	40.2.8!2
000558	000558	40.2.8!3
000559	000559	40.2.8!4
000560	000560	40.2.8!5
000561	000561	40.2.8!6
000562	000562	40.2.8!7
000563	000563	40.2.8!8
000564	000564	40.2.8!9
000565	000565	40.2.8!10
000566	000566	40.2.8!11
000567	000567	40.2.8!12
000568	000568	40.2.8!13
000569	000569	40.2.8!14
000570	000570	40.2.8!15
000571	000571	40.2.8!16
000572	000572	40.2.8!17
000573	000573	40.2.8!18
000574	000574	40.2.8!19
000575	000575	40.2.8!20
000576	000576	40.2.8!21
000577	000577	40.2.8!22
000578	000578	40.2.9!1
000579	000579	40.2.9!2
000580	000580	40.2.9!3
000581	000581	40.2.9!4
000582	000582	40.2.9!5
000583	000583	40.2.9!6
000584	000584	40.2.9!7
000585	000585	40.2.9!8
000586	000586	40.2.9!9
000587	000587	40.2.9!10
000588	000588	40.2.9!11
000589	000589	40.2.9!12
000590	000590	40.2.9!13
000591	000591	40.2.9!14
000592	000592	40.2.9!15
000593	000593	40.2.9!16
000594	000594	40.2.9!17
000595	000595	40.2.9!18
000596	000596	40.2.9!19
000597	000597	40.2.9!20
000598	000598	40.2.9!21
000599	000599	40.2.9!22
000600	000600	40.2.9!23
000601	000601	40.2.9!24
000602	000602	40.2.9!25
000603	000603	40.2.10!1
000604	000604	40.2.10!2
000605	000605	40.2.10!3
000606	000606	40.2.10!4
000607	000607	40.2.10!5
000608	000608	40.2.10!6
000609	000609	40.2.10!7
000610	000610	40.2.10!8
000611	000611	40.2.11!1
000612	000612	40.2.11!2
000613	000613	40.2.11!3
000614	000614	40.2.11!4
000615	000615	40.2.11!5
000616	000616	40.2.11!6
000617	000617	40.2.11!7
000618	000618	40.2.11!8
000619	000619	40.2.11!9
000620	000620	40.2.11!10
000621	000621	40.2.11!11
000622	000622	40.2.11!12
000623	000623	40.2.11!13
000624	000624	40.2.11!14
000625	000625	40.2.11!15
000626	000626	40.2.11!16
000627	000627	40.2.11!17
000628	000628	40.2.11!18
000629	000629	40.2.11!19
000630	000630	40.2.11!20
000631	000631	40.2.11!21
000632	000632	40.2.11!22
000633	000633	40.2.11!23
000634	000634	40.2.11!24
000635	000635	40.2.11!25
000636	000636	40.2.11!26
000637	000637	40.2.11!27
000638	000638	40.2.11!28
000639	000639	40.2.11!29
000640	000640	40.2.11!30
000641	000641	40.2.12!1
000642	000642	40.2.12!2
000643	000643	40.2.12!3
000644	000644	40.2.12!4
000645	000645	40.2.12!5
000646	000646	40.2.12!6
000647	000647	40.2.12!7
000648	000648	40.2.12!8
000649	000649	40.2.12!9
000650	000650	40.2.12!10
000651	000651	40.2.12!11
000652	000652	40.2.12!12
000653	000653	40.2.12!13
000654	000654	40.2.12!14
000655	000655	40.2.12!15
000656	000656	40.2.12!16
000657	000657	40.2.13!1
000658	000658	40.2.13!2
000659	000659	40.2.13!3
000660	000660	40.2.13!4
000661	000661	40.2.13!5
000662	000662	40.2.13!6
000663	000663	40.2.13!7
000664	000664	40.2.13!8
000665	000665	40.2.13!9
000666	000666	40.2.13!10
000667	000667	40.2.13!11
000668	000668	40.2.13!12
000669	000669	40.2.13!13
000670	000670	40.2.13!14
000671	000671	40.2.13!15
000672	000672	40.2.13!16
000673	000673	40.2.13!17
000674	000674	40.2.13!18
000675	000675	40.2.13!19
000676	000676	40.2.13!20
000677	000677	40.2.13!21
000678	000678	40.2.13!22
000679	000679	40.2.13!23
000680	000680	40.2.13!24
000681	000681	40.2.13!25
000682	000682	40.2.13!26
000683	000683	40.2.13!27
000684	000684	40.2.13!28
000685	000685	40.2.13!29
000686	000686	40.2.13!30
000687	000687	40.2.13!31
000688	000688	40.2.13!32
000689	000689	40.2.13!33
000690	000690	40.2.13!34
000691	000691	40.2.13!35
000692	000692	40.2.13!36
000693	000693	40.2.13!37
000694	000694	40.2.13!38
000695	000695	40.2.13!39
000696	000696	40.2.13!40
000697	000697	40.2.14!1
000698	000698	40.2.14!2
000699	000699	40.2.14!3
000700	000700	40.2.14!4
000701	000701	40.2.14!5
000702	000702	40.2.14!6
000703	000703	40.2.14!7
000704	000704	40.2.14!8
000705	000705	40.2.14!9
000706	000706	40.2.14!10
000707	000707	40.2.14!11
000708	000708	40.2.14!12
000709	000709	40.2.14!13
000710	000710	40.2.14!14
000711	000711	40.2.14!15
000712	000712	40.2.15!1
000713	000713	40.2.15!2
000714	000714	40.2.15!3
000715	000715	40.2.15!4
000716	000716	40.2.15!5
000717	000717	40.2.15!6
000718	000718	40.2.15!7
000719	000719	40.2.15!8
000720	000720	40.2.15!9
000721	000721	40.2.15!10
000722	000722	40.2.15!11
000723	000723	40.2.15!12
000724	000724	40.2.15!13
000725	000725	40.2.15!14
000726	000726	40.2.15!15
000727	000727	40.2.15!16
000728	000728	40.2.15!17
000729	000729	40.2.15!18
000730	000730	40.2.15!19
000731	000731	40.2.15!20
000732	000732	40.2.15!21
000733	000733	40.2.15!22
000734	000734	40.2.15!23
000735	000735	40.2.16!1
000736	000736	40.2.16!2
000737	000737	40.2.16!3
000738	000738	40.2.16!4
000739	000739	40.2.16!5
000740	000740	40.2.16!6
000741	000741	40.2.16!7
000742	000742	40.2.16!8
000743	000743	40.2.16!9
000744	000744	40.2.16!10
000745	000745	40.2.16!11
000746	000746	40.2.16!12
000747	000747	40.2.16!13
000748	000748	40.2.16!14
000749	000749	40.2.16!15
000750	000750	40.2.16!16
000751	000751	40.2.16!17
000752	000752	40.2.16!18
000753	000753	40.2.16!19
000754	000754	40.2.16!20
000755	000755	40.2.16!21
000756	000756	40.2.16!22
000757	000757	40.2.16!23
000758	000758	40.2.16!24
000759	000759	40.2.16!25
000760	000760	40.2.16!26
000761	000761	40.2.16!27
000762	000762	40.2.16!28
000763	000763	40.2.16!29
000764	000764	40.2.16!30
000765	000765	40.2.16!31
000766	000766	40.2.16!32
000767	000767	40.2.16!33
000768	000768	40.2.16!34
000769	000769	40.2.16!35
000770	000770	40.2.16!36
000771	000771	40.2.16!37
000772	000772	40.2.17!1
000773	000773	40.2.17!2
000774	000774	40.2.17!3
000775	000775	40.2.17!4
000776	000776	40.2.17!5
000777	000777	40.2.17!6
000778	000778	40.2.17!7
000779	000779	40.2.17!8
000780	000780	40.2.17!9
000781	000781	40.2.18!1
000782	000782	40.2.18!2
000783	000783	40.2.18!3
000784	000784	40.2.18!4
000785	000785	40.2.18!5
000786	000786	40.2.18!6
000787	000787	40.2.18!7
000788	000788	40.2.18!8
000789	000789	40.2.18!9
000790	000790	40.2.18!10
000791	000791	40.2.18!11
000792	000792	40.2.18!12
000793	000793	40.2.18!13
000794	000794	40.2.18!14
000795	000795	40.2.18!15
