OGNTsort	book	chapter	verse	〈StrongNo｜AlternateStrongNo〉
124768	61	3	1	〈G3739｜〉
124769	61	3	1	〈G1326｜〉
124770	61	3	1	〈G4771｜〉
124771	61	3	1	〈G1722｜〉
124772	61	3	1	〈G5280｜〉
124773	61	3	1	〈G3588｜〉
124774	61	3	1	〈G1506｜〉
124775	61	3	1	〈G1271｜〉
124776	61	3	2	〈G3403｜〉
124777	61	3	2	〈G3588｜〉
124778	61	3	2	〈G4280｜G4302〉
124779	61	3	2	〈G4487｜〉
124780	61	3	2	〈G5259｜〉
124781	61	3	2	〈G3588｜〉
124782	61	3	2	〈G40｜〉
124783	61	3	2	〈G4396｜〉
124784	61	3	2	〈G2532｜〉
124785	61	3	2	〈G3588｜〉
124786	61	3	2	〈G3588｜〉
124787	61	3	2	〈G652｜〉
124788	61	3	2	〈G4771｜〉
124789	61	3	2	〈G1785｜〉
124790	61	3	2	〈G3588｜〉
124791	61	3	2	〈G2962｜〉
124792	61	3	2	〈G2532｜〉
124793	61	3	2	〈G4990｜〉
124794	61	3	3	〈G3778｜〉
124795	61	3	3	〈G4413｜G4412〉
124796	61	3	3	〈G1097｜〉
124797	61	3	3	〈G3754｜〉
124798	61	3	3	〈G2064｜〉
124799	61	3	3	〈G1909｜〉
124800	61	3	3	〈G2078｜〉
124801	61	3	3	〈G3588｜〉
124802	61	3	3	〈G2250｜〉
124803	61	3	3	〈G1722｜〉
124804	61	3	3	〈G6032｜G1701〉
124805	61	3	3	〈G1703｜〉
124806	61	3	3	〈G2596｜〉
124807	61	3	3	〈G3588｜〉
124808	61	3	3	〈G2398｜〉
124809	61	3	3	〈G1939｜〉
124810	61	3	3	〈G846｜〉
124811	61	3	3	〈G4198｜〉
124812	61	3	4	〈G2532｜〉
124813	61	3	4	〈G3004｜〉
124814	61	3	4	〈G4226｜〉
124815	61	3	4	〈G1510｜〉
124816	61	3	4	〈G3588｜〉
124817	61	3	4	〈G1860｜〉
124818	61	3	4	〈G3588｜〉
124819	61	3	4	〈G3952｜〉
124820	61	3	4	〈G846｜〉
124821	61	3	4	〈G575｜〉
124822	61	3	4	〈G3739｜〉
124823	61	3	4	〈G1063｜〉
124824	61	3	4	〈G3588｜〉
124825	61	3	4	〈G3962｜〉
124826	61	3	4	〈G2837｜〉
124827	61	3	4	〈G3956｜〉
124828	61	3	4	〈G3779｜〉
124829	61	3	4	〈G1265｜〉
124830	61	3	4	〈G575｜〉
124831	61	3	4	〈G746｜〉
124832	61	3	4	〈G2937｜〉
124833	61	3	5	〈G2990｜〉
124834	61	3	5	〈G1063｜〉
124835	61	3	5	〈G846｜〉
124836	61	3	5	〈G3778｜〉
124837	61	3	5	〈G2309｜〉
124838	61	3	5	〈G3754｜〉
124839	61	3	5	〈G3772｜〉
124840	61	3	5	〈G1510｜〉
124841	61	3	5	〈G1597｜〉
124842	61	3	5	〈G2532｜〉
124843	61	3	5	〈G1093｜〉
124844	61	3	5	〈G1537｜〉
124845	61	3	5	〈G5204｜〉
124846	61	3	5	〈G2532｜〉
124847	61	3	5	〈G1223｜〉
124848	61	3	5	〈G5204｜〉
124849	61	3	5	〈G4921｜〉
124850	61	3	5	〈G3588｜〉
124851	61	3	5	〈G3588｜〉
124852	61	3	5	〈G2316｜〉
124853	61	3	5	〈G3056｜〉
124854	61	3	6	〈G1223｜〉
124855	61	3	6	〈G3739｜〉
124856	61	3	6	〈G3588｜〉
124857	61	3	6	〈G5119｜〉
124858	61	3	6	〈G2889｜〉
124859	61	3	6	〈G5204｜〉
124860	61	3	6	〈G2626｜〉
124861	61	3	6	〈G622｜〉
124862	61	3	7	〈G3588｜〉
124863	61	3	7	〈G1161｜〉
124864	61	3	7	〈G3568｜〉
124865	61	3	7	〈G3772｜〉
124866	61	3	7	〈G2532｜〉
124867	61	3	7	〈G3588｜〉
124868	61	3	7	〈G1093｜〉
124869	61	3	7	〈G3588｜〉
124870	61	3	7	〈G846｜〉
124871	61	3	7	〈G3056｜〉
124872	61	3	7	〈G2343｜〉
124873	61	3	7	〈G1510｜〉
124874	61	3	7	〈G4442｜〉
124875	61	3	7	〈G5083｜〉
124876	61	3	7	〈G1519｜〉
124877	61	3	7	〈G2250｜〉
124878	61	3	7	〈G2920｜〉
124879	61	3	7	〈G2532｜〉
124880	61	3	7	〈G684｜〉
124881	61	3	7	〈G3588｜〉
124882	61	3	7	〈G765｜〉
124883	61	3	7	〈G444｜〉
124884	61	3	8	〈G1520｜〉
124885	61	3	8	〈G1161｜〉
124886	61	3	8	〈G3778｜〉
124887	61	3	8	〈G3361｜〉
124888	61	3	8	〈G2990｜〉
124889	61	3	8	〈G4771｜〉
124890	61	3	8	〈G27｜〉
124891	61	3	8	〈G3754｜〉
124892	61	3	8	〈G1520｜〉
124893	61	3	8	〈G2250｜〉
124894	61	3	8	〈G3844｜〉
124895	61	3	8	〈G2962｜〉
124896	61	3	8	〈G5613｜〉
124897	61	3	8	〈G5507｜〉
124898	61	3	8	〈G2094｜〉
124899	61	3	8	〈G2532｜〉
124900	61	3	8	〈G5507｜〉
124901	61	3	8	〈G2094｜〉
124902	61	3	8	〈G5613｜〉
124903	61	3	8	〈G2250｜〉
124904	61	3	8	〈G1520｜〉
124905	61	3	9	〈G3756｜〉
124906	61	3	9	〈G1019｜〉
124907	61	3	9	〈G2962｜〉
124908	61	3	9	〈G3588｜〉
124909	61	3	9	〈G1860｜〉
124910	61	3	9	〈G5613｜〉
124911	61	3	9	〈G5100｜〉
124912	61	3	9	〈G1022｜〉
124913	61	3	9	〈G2233｜〉
124914	61	3	9	〈G235｜〉
124915	61	3	9	〈G3114｜〉
124916	61	3	9	〈G1519｜〉
124917	61	3	9	〈G4771｜〉
124918	61	3	9	〈G3361｜〉
124919	61	3	9	〈G1014｜〉
124920	61	3	9	〈G5100｜〉
124921	61	3	9	〈G622｜〉
124922	61	3	9	〈G235｜〉
124923	61	3	9	〈G3956｜〉
124924	61	3	9	〈G1519｜〉
124925	61	3	9	〈G3341｜〉
124926	61	3	9	〈G5562｜〉
124927	61	3	10	〈G2240｜〉
124928	61	3	10	〈G1161｜〉
124929	61	3	10	〈G2250｜〉
124930	61	3	10	〈G2962｜〉
124931	61	3	10	〈G5613｜〉
124932	61	3	10	〈G2812｜〉
124933	61	3	10	〈G1722｜〉
124934	61	3	10	〈G3739｜〉
124935	61	3	10	〈G3588｜〉
124936	61	3	10	〈G3772｜〉
124937	61	3	10	〈G4500｜〉
124938	61	3	10	〈G3928｜〉
124939	61	3	10	〈G4747｜〉
124940	61	3	10	〈G1161｜〉
124941	61	3	10	〈G2741｜〉
124942	61	3	10	〈G3089｜〉
124943	61	3	10	〈G2532｜〉
124944	61	3	10	〈G1093｜〉
124945	61	3	10	〈G2532｜〉
124946	61	3	10	〈G3588｜〉
124947	61	3	10	〈G1722｜〉
124948	61	3	10	〈G846｜〉
124949	61	3	10	〈G2041｜〉
124950	61	3	10	〈G3756｜〉
124951	61	3	10	〈G2147｜〉
124952	61	3	11	〈G3778｜〉
124953	61	3	11	〈G3779｜〉
124954	61	3	11	〈G3956｜〉
124955	61	3	11	〈G3089｜〉
124956	61	3	11	〈G4217｜〉
124957	61	3	11	〈G1210｜G1163〉
124958	61	3	11	〈G5225｜〉
124959	61	3	11	〈G4771｜〉
124960	61	3	11	〈G1722｜〉
124961	61	3	11	〈G40｜〉
124962	61	3	11	〈G391｜〉
124963	61	3	11	〈G2532｜〉
124964	61	3	11	〈G2150｜〉
124965	61	3	12	〈G4328｜〉
124966	61	3	12	〈G2532｜〉
124967	61	3	12	〈G4692｜〉
124968	61	3	12	〈G3588｜〉
124969	61	3	12	〈G3952｜〉
124970	61	3	12	〈G3588｜〉
124971	61	3	12	〈G3588｜〉
124972	61	3	12	〈G2316｜〉
124973	61	3	12	〈G2250｜〉
124974	61	3	12	〈G1223｜〉
124975	61	3	12	〈G3739｜〉
124976	61	3	12	〈G3772｜〉
124977	61	3	12	〈G4448｜〉
124978	61	3	12	〈G3089｜〉
124979	61	3	12	〈G2532｜〉
124980	61	3	12	〈G4747｜〉
124981	61	3	12	〈G2741｜〉
124982	61	3	12	〈G5080｜〉
124983	61	3	13	〈G2537｜〉
124984	61	3	13	〈G1161｜〉
124985	61	3	13	〈G3772｜〉
124986	61	3	13	〈G2532｜〉
124987	61	3	13	〈G1093｜〉
124988	61	3	13	〈G2537｜〉
124989	61	3	13	〈G2596｜〉
124990	61	3	13	〈G3588｜〉
124991	61	3	13	〈G1862｜〉
124992	61	3	13	〈G846｜〉
124993	61	3	13	〈G4328｜〉
124994	61	3	13	〈G1722｜〉
124995	61	3	13	〈G3739｜〉
124996	61	3	13	〈G1343｜〉
124997	61	3	13	〈G2730｜〉
124998	61	3	14	〈G1352｜〉
124999	61	3	14	〈G27｜〉
125000	61	3	14	〈G3778｜〉
125001	61	3	14	〈G4328｜〉
125002	61	3	14	〈G4704｜〉
125003	61	3	14	〈G784｜〉
125004	61	3	14	〈G2532｜〉
125005	61	3	14	〈G298｜〉
125006	61	3	14	〈G846｜〉
125007	61	3	14	〈G2147｜〉
125008	61	3	14	〈G1722｜〉
125009	61	3	14	〈G1515｜〉
125010	61	3	15	〈G2532｜〉
125011	61	3	15	〈G3588｜〉
125012	61	3	15	〈G3588｜〉
125013	61	3	15	〈G2962｜〉
125014	61	3	15	〈G1473｜〉
125015	61	3	15	〈G3115｜〉
125016	61	3	15	〈G4991｜〉
125017	61	3	15	〈G2233｜〉
125018	61	3	15	〈G2531｜〉
125019	61	3	15	〈G2532｜〉
125020	61	3	15	〈G3588｜〉
125021	61	3	15	〈G27｜〉
125022	61	3	15	〈G1473｜〉
125023	61	3	15	〈G80｜〉
125024	61	3	15	〈G3972｜〉
125025	61	3	15	〈G2596｜〉
125026	61	3	15	〈G3588｜〉
125027	61	3	15	〈G1325｜〉
125028	61	3	15	〈G846｜〉
125029	61	3	15	〈G4678｜〉
125030	61	3	15	〈G1125｜〉
125031	61	3	15	〈G4771｜〉
125032	61	3	16	〈G5613｜〉
125033	61	3	16	〈G2532｜〉
125034	61	3	16	〈G1722｜〉
125035	61	3	16	〈G3956｜〉
125036	61	3	16	〈G3588｜〉
125037	61	3	16	〈G1992｜〉
125038	61	3	16	〈G2980｜〉
125039	61	3	16	〈G1722｜〉
125040	61	3	16	〈G846｜〉
125041	61	3	16	〈G4012｜〉
125042	61	3	16	〈G3778｜〉
125043	61	3	16	〈G1722｜〉
125044	61	3	16	〈G3739｜〉
125045	61	3	16	〈G1510｜〉
125046	61	3	16	〈G1425｜〉
125047	61	3	16	〈G5100｜〉
125048	61	3	16	〈G3739｜〉
125049	61	3	16	〈G3588｜〉
125050	61	3	16	〈G261｜〉
125051	61	3	16	〈G2532｜〉
125052	61	3	16	〈G793｜〉
125053	61	3	16	〈G4761｜〉
