FEATURESsort1	OGNTsort	OpenTextWord_KEY
000455	000455	40.2.1.w19
000456	000456	40.2.1.w20
000457	000457	40.2.2.w1
000458	000458	40.2.2.w2
000459	000459	40.2.2.w3
000460	000460	40.2.2.w4
000461	000461	40.2.2.w5
000462	000462	40.2.2.w6
000463	000463	40.2.2.w7
000464	000464	40.2.2.w8
000465	000465	40.2.2.w9
000466	000466	40.2.2.w10
000467	000467	40.2.2.w11
000468	000468	40.2.2.w12
000469	000469	40.2.2.w13
000470	000470	40.2.2.w14
000471	000471	40.2.2.w15
000472	000472	40.2.2.w16
000473	000473	40.2.2.w17
000474	000474	40.2.2.w18
000475	000475	40.2.2.w19
000476	000476	40.2.2.w20
000477	000477	40.2.3.w1
000478	000478	40.2.3.w2
000479	000479	40.2.3.w3
000480	000480	40.2.3.w4
000481	000481	40.2.3.w5
000482	000482	40.2.3.w6
000483	000483	40.2.3.w7
000484	000484	40.2.3.w8
000485	000485	40.2.3.w9
000486	000486	40.2.3.w10
000487	000487	40.2.3.w11
000488	000488	40.2.4.w1
000489	000489	40.2.4.w2
000490	000490	40.2.4.w3
000491	000491	40.2.4.w4
000492	000492	40.2.4.w5
000493	000493	40.2.4.w6
000494	000494	40.2.4.w7
000495	000495	40.2.4.w8
000496	000496	40.2.4.w9
000497	000497	40.2.4.w10
000498	000498	40.2.4.w11
000499	000499	40.2.4.w12
000500	000500	40.2.4.w13
000501	000501	40.2.4.w14
000502	000502	40.2.4.w15
000503	000503	40.2.4.w16
000504	000504	40.2.5.w1
000505	000505	40.2.5.w2
000506	000506	40.2.5.w3
000507	000507	40.2.5.w4
000508	000508	40.2.5.w5
000509	000509	40.2.5.w6
000510	000510	40.2.5.w7
000511	000511	40.2.5.w8
000512	000512	40.2.5.w9
000513	000513	40.2.5.w10
000514	000514	40.2.5.w11
000515	000515	40.2.5.w12
000516	000516	40.2.5.w13
000517	000517	40.2.5.w14
000518	000518	40.2.6.w1
000519	000519	40.2.6.w2
000520	000520	40.2.6.w3
000521	000521	40.2.6.w4
000522	000522	40.2.6.w5
000523	000523	40.2.6.w6
000524	000524	40.2.6.w7
000525	000525	40.2.6.w8
000526	000526	40.2.6.w9
000527	000527	40.2.6.w10
000528	000528	40.2.6.w11
000529	000529	40.2.6.w12
000530	000530	40.2.6.w13
000531	000531	40.2.6.w14
