BGBsort	Book	Chapter	Verse	Heading	Crossref
35940	41	15	16	The Soldiers Mock Jesus	『isaiah｜50｜4｜Isaiah 50:4-11』『matthew｜27｜27｜Matthew 27:27-31』『luke｜22｜63｜Luke 22:63-65』『john｜19｜1｜John 19:1-15』
36030	41	15	21	The Crucifixion	『psalms｜22｜1｜Psalm 22:1-36』『psalms｜69｜1｜Psalm 69:1-36』『matthew｜27｜32｜Matthew 27:32-44』『luke｜23｜26｜Luke 23:26-43』『john｜19｜16｜John 19:16-27』
36241	41	15	33	The Death of Jesus	『psalms｜22｜1｜Psalm 22:1-31』『matthew｜27｜45｜Matthew 27:45-56』『luke｜23｜44｜Luke 23:44-49』『john｜19｜28｜John 19:28-30』
36426	41	15	42	The Burial of Jesus	『isaiah｜53｜9｜Isaiah 53:9-12』『matthew｜27｜57｜Matthew 27:57-61』『luke｜23｜50｜Luke 23:50-56』『john｜19｜38｜John 19:38-42』
36551	41	16	1	The Resurrection	『psalms｜16｜1｜Psalm 16:1-11』『psalms｜49｜1｜Psalm 49:1-20』『matthew｜28｜1｜Matthew 28:1-10』『luke｜24｜1｜Luke 24:1-12』『john｜20｜1｜John 20:1-9』
36720	41	16	9	Jesus Appears to Mary Magdalene	『john｜20｜10｜John 20:10-18』
36766	41	16	12	Jesus Appears to Two Disciples	『luke｜24｜13｜Luke 24:13-24』
36796	41	16	14	The Great Commission	『matthew｜28｜16｜Matthew 28:16-20』
36898	41	16	19	The Ascension	『luke｜24｜50｜Luke 24:50-53』『acts｜1｜6｜Acts 1:6-11』
36975	42	1	1	Dedication to Theophilus	『acts｜1｜1｜Acts 1:1-3』
37033	42	1	5	Gabriel Foretells John's Birth	『matthew｜11｜7｜Matthew 11:7-19』『luke｜7｜24｜Luke 7:24-35』『luke｜16｜14｜Luke 16:14-17』
37494	42	1	26	Gabriel Foretells Jesus' Birth	
37759	42	1	39	Mary Visits Elizabeth	
37900	42	1	46	Mary's Song	『1_samuel｜2｜1｜1 Samuel 2:1-11』
38063	42	1	57	The Birth of John the Baptist	
38262	42	1	67	Zechariah's Song	
38485	42	2	1	The Birth of Jesus	『isaiah｜7｜10｜Isaiah 7:10-16』『micah｜5｜1｜Micah 5:1-6』『matthew｜1｜18｜Matthew 1:18-25』
38617	42	2	8	The Shepherds and the Angels	
38876	42	2	21	Jesus Presented at the Temple	
38968	42	2	25	The Prophecy of Simeon	
39188	42	2	36	The Prophecy of Anna	
39259	42	2	39	The Return to Nazareth	『isaiah｜61｜1｜Isaiah 61:1-11』『matthew｜2｜19｜Matthew 2:19-23』『matthew｜13｜53｜Matthew 13:53-58』『mark｜6｜1｜Mark 6:1-6』『luke｜4｜16｜Luke 4:16-30』
39298	42	2	41	The Boy Jesus at the Temple	
39543	42	3	1	The Mission of John the Baptist	『isaiah｜40｜1｜Isaiah 40:1-5』『matthew｜3｜1｜Matthew 3:1-12』『mark｜1｜1｜Mark 1:1-8』『john｜1｜19｜John 1:19-28』
40004	42	3	21	The Baptism of Jesus	『matthew｜3｜13｜Matthew 3:13-17』『mark｜1｜9｜Mark 1:9-11』『john｜1｜29｜John 1:29-34』
40055	42	3	23	The Genealogy of Jesus	『ruth｜4｜18｜Ruth 4:18-22』『matthew｜1｜1｜Matthew 1:1-17』
40284	42	4	1	The Temptation of Jesus	『matthew｜4｜1｜Matthew 4:1-11』『mark｜1｜12｜Mark 1:12-13』
40550	42	4	14	Jesus Begins His Ministry	『isaiah｜9｜1｜Isaiah 9:1-7』『matthew｜4｜12｜Matthew 4:12-17』『mark｜1｜14｜Mark 1:14-15』
40589	42	4	16	The Rejection at Nazareth	『isaiah｜61｜1｜Isaiah 61:1-11』『matthew｜2｜19｜Matthew 2:19-23』『matthew｜13｜53｜Matthew 13:53-58』『mark｜6｜1｜Mark 6:1-6』『luke｜2｜39｜Luke 2:39-40』
40925	42	4	31	Jesus Expels an Unclean Spirit	『mark｜1｜21｜Mark 1:21-28』
41072	42	4	38	Jesus Heals at Peter's House	『matthew｜8｜14｜Matthew 8:14-17』『mark｜1｜29｜Mark 1:29-34』
41178	42	4	42	Jesus Preaches in Judea	『mark｜1｜35｜Mark 1:35-39』
41244	42	5	1	The First Disciples	『matthew｜4｜18｜Matthew 4:18-22』『matthew｜13｜47｜Matthew 13:47-52』『mark｜1｜16｜Mark 1:16-20』『john｜1｜35｜John 1:35-42』
41495	42	5	12	The Leper's Prayer	『leviticus｜14｜1｜Leviticus 14:1-32』『matthew｜8｜1｜Matthew 8:1-4』『mark｜1｜40｜Mark 1:40-45』
41613	42	5	17	Jesus Heals a Paralytic	『matthew｜9｜1｜Matthew 9:1-8』『mark｜2｜1｜Mark 2:1-12』
41866	42	5	27	The Calling of Levi	『matthew｜9｜9｜Matthew 9:9-13』『mark｜2｜13｜Mark 2:13-17』
41984	42	5	33	Questions about Fasting	『matthew｜9｜14｜Matthew 9:14-15』『mark｜2｜18｜Mark 2:18-20』
